num,title,link,content
340,11월부터 연 2천만 원 이하 주택임대·금융소득도 건보료 내야,http://news.kbs.co.kr/news/view.do?ncd=4520554&ref=A,11월부터 연 수입 2천만 원 이하 주택임대소득과 금융소득에도 건강보험료가 부과됩니다. 보건복지부는 오늘... 이에 따라 오는 11월부터 연 수입금액 2천만 원 이하 주택임대소득 및 금융소득에도 건강보험료가 부과될...
341,"우리금융-KT, 마이데이터 서비스 차별화… 합작법인도 설립",https://biz.chosun.com/site/data/html_dir/2020/08/19/2020081901436.html?utm_source=naver&utm_medium=original&utm_campaign=biz,우리금융지주는 KT그룹과 금융?ICT 융합을 위한 전략적 업무 협약(MOU)을 체결했다고 19일 밝혔다. 이번 업무협약은 지난 6월 손태승 우리금융 회장과 구현모 KT대표가 공동 제안했던 금융?ICT 융합을 통한 협력 약속에...
342,"""윤종규 KB금융 회장 한 번 더?"", 3연임 '긍정적'",http://www.ftoday.co.kr/news/articleView.html?idxno=205222,"윤종규 KB금융지주 회장.사진=KB금융지주 KB금융이 이번 2분기에 리딩금융그룹 자리를 되찾은 가운데, 윤종규 회장이 임기 만료를 앞두고 있어 눈길이 쏟아진다. 업계에서는 윤 회장의 3연임 가능성도 제기되고 있어..."
343,"워킹맘 고충 들은 윤종규 KB금융 회장, ""제도적 지원 확대""",https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2020082109510779515,KB금융그룹은 21일 윤종규 회장이 ?은 직원들과 유튜브 생중계를 통해 격의 없는 대화와 이야기를 나누는 'e... 이날 행사에는 지난 회차에 아쉽게 참가하지 못했던 주니어보드 활동 직원 등 MZ세대 직원들이 KB금융그룹의...
344,"신한금융-두산, 벤처캐피탈 '네오플럭스' 인수 주식매매계약",http://www.seoulfn.com/news/articleView.html?idxno=392663,신한금융지주는 두산과 벤처캐피탈(VC) '네오플럭스' 인수를 위한 주식매매계약(SPA)을 체결했다고 20일 밝혔다. 앞서 두 기업은 각각 이사회를 개최하고 네오플럭스 지분 매매 안건을 의결한 바 있다. 이날 신한금융은...
345,"'금융 공기업의 꽃' 예보, 신입 30명 채용한다",https://www.sedaily.com/NewsView/1Z6N1G8R85,"예보는 정부의 일자리 창출 정책에 부응하고 부보금융회사의 리스크관리, 부실책임조사 등 업무 수요가 높은 상황을 반영해 공채를 실시한다는 계획이다. 분야별로 금융일반 18명, 금융통계 3명, 회수조사 5명, IT 4명을..."
346,"신한파이낸스-아시아오토, 자동차금융 협약 체결",http://www.shinailbo.co.kr/news/articleView.html?idxno=1311226,자동차금융 제휴 협약(MOU)을 체결했다고 20일 밝혔다. 이번 협약은 신한카드의 수익 포트폴리오 다각화를 위한 자동차 금융 확대 전략의 일환으로 마련됐다. 이에 따라 신한파이낸스는 아시아오토의 자체 유통망인...
347,"하나은행, 모바일금융 앱 '뉴 하나원큐' 출시",http://www.dailysmart.co.kr/news/articleView.html?idxno=31554,하나은행이 세상의 모든 금융을 담은 모바일금융 앱 '뉴 하나원큐'를 출시하고 평생 이체수수료 면제 등 다양한 손님 이벤트를 실시한다. 사진=하나은행. ?하나은행이 세상의 모든 금융을 담은 모바일금융 앱 '뉴...
348,"푸르덴셜생명, 금융 라이프스타일 매거진 ‘BETTER TOMORROW’ 사이트 오픈",http://www.inews24.com/view/1292350,") 푸르덴셜생명은 금융 라이프스타일 매거진 ‘BETTER TOMORROW’ 사이트를 오픈했다고 20일 밝혔다. BETTER TOMORROW는 다양한 사람들의 라이프스타일을 소개하고 그들만의 유익한 금융 정보를 전달한다. 인터뷰, 카운셀링..."
349,"두산, 신한금융지주에 네오플럭스 매각",http://www.todayenergy.kr/news/articleView.html?idxno=227935,?(주)두산은 신한금융지주와 네오플럭스 지분 매각 계약을 체결했다고 20일 밝혔다. 이번 매각은 그룹... 이에 앞서 두산중공업은 지난 2일 클럽모우CC를 하나금융-모아미래도 컨소시엄에 매각하고 채권단 차입금 상환을...
